random_seed,requested_duration_s,fault,fault_activation_time_s,initial_altitude_m,altitude_at_activation_m,airspeed_at_activation_m_s,roll_at_activation_deg,pitch_at_activation_deg,waypoint_at_activation,failure_mode,time_to_failure_s,time_from_fault_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,disabled_altitude_feedback,0.0,1.0,1.0,4.0,0.0,0.0,0,ground_impact,15.48,15.48,36.27828982394133,7.505238425694036,6.7235567445022495,0.0,0.5438898450946644,0.0,0.0,4.0,0,15.48,5,1.25,0,3.2730063973575922,2.4799779720542765,0.9088808286427509,4.780773794203486,-0.0007192128294628364,0.3109440968813377,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
7,60.0,disabled_altitude_feedback,0.0,1.0,1.0,3.9705706040793256,0.0,0.0,0,ground_impact,23.3,23.3,37.036383479803916,7.554440841077911,7.192279134982983,0.0,0.5218340611353712,0.0,0.0,4.0,1,23.3,7,1.75,0,3.0259115379704773,2.3445850059103197,0.9877554624076437,4.844119354560178,-0.0009132334159999561,0.2754116654711292,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
7,60.0,disabled_altitude_feedback,0.0,1.0,1.0,4.134814580815061,0.0,0.0,0,ground_impact,15.08,15.08,36.72390907621606,7.2999191056775885,6.6609599057812705,0.0,0.5388692579505301,0.0,0.0,4.0,2,15.08,5,1.25,0,3.3337518566041204,2.5250606270684828,0.9862138456757551,4.877173256094945,-0.005608285531957486,0.3130390558994451,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
7,60.0,disabled_altitude_feedback,0.0,1.0,1.0,4.17178330111812,0.0,0.0,0,ground_impact,15.620000000000001,15.620000000000001,36.3231179690407,6.813809208773722,6.769784267810268,0.0,0.5494880546075085,0.0,0.0,4.0,3,15.620000000000001,5,1.25,0,3.253150380038368,2.45237551124862,0.9125931632663974,4.788662178292212,-0.003812031595450513,0.3050479709677251,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174
7,60.0,disabled_altitude_feedback,0.0,1.0,1.0,3.8014708311273617,0.0,0.0,0,ground_impact,15.58,15.58,36.7913082179707,8.562269565757473,6.67288222077538,0.0,0.5623931623931624,0.0,0.0,4.0,4,15.58,5,1.25,0,3.2679309656038527,2.423834873875229,1.004833039943655,4.8907748895654635,-0.0019418621146318872,0.30774750254785416,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
7,60.0,disabled_altitude_feedback,0.0,1.0,1.0,3.8808036451019428,0.0,0.0,0,ground_impact,16.080000000000002,16.080000000000002,35.93467817306891,7.6101923050410765,6.6930975092889655,0.0,0.5645695364238411,0.0,0.0,4.0,5,16.080000000000002,5,1.25,0,3.1527528841607295,2.414396287844101,0.8578862022719924,4.725943922180149,-0.0038276221858903415,0.3044501958998302,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
7,60.0,disabled_altitude_feedback,0.0,1.0,1.0,4.097035513386014,0.0,0.0,0,ground_impact,15.3,15.3,36.78932183166331,7.409173799296105,6.71103415539936,0.0,0.5522648083623694,0.0,0.0,4.0,6,15.3,5,1.25,0,3.287551692422369,2.4542153485088276,1.00266417344801,4.885358946693359,-0.0012191849261958638,0.30641228745335036,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
7,60.0,disabled_altitude_feedback,0.0,1.0,1.0,3.701137032373826,0.0,0.0,0,ground_impact,15.16,15.16,36.811406411203244,9.15295034207727,6.652425099782531,0.0,0.5483304042179262,0.0,0.0,4.0,7,15.16,5,1.25,0,3.2749636953646393,2.486268733516819,1.0171172514025535,4.895922384539302,-0.005327978864144071,0.3188656827351436,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
7,60.0,disabled_altitude_feedback,0.0,1.0,1.0,3.930524520257145,0.0,0.0,0,ground_impact,15.860000000000001,15.860000000000001,36.078499616036794,7.558612920714721,6.727656419761073,0.0,0.5529411764705883,0.0,0.0,4.0,8,15.860000000000001,5,1.25,0,3.2210792404982755,2.448649156628108,0.8719132974591056,4.738391291216796,-0.0014666220331995966,0.3082219287061755,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
7,60.0,disabled_altitude_feedback,0.0,1.0,1.0,3.9854069611494864,0.0,0.0,0,ground_impact,16.22,16.22,36.27107946839481,7.266170899633993,6.725665391535008,0.0,0.5796387520525451,0.0,0.0,4.0,9,16.22,5,1.25,0,3.1848109504475595,2.3665058285253524,0.9231766195111306,4.789148187843363,-0.003249342269206509,0.29690247953425575,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
