random_seed,requested_duration_s,campaign,x_parameter,x_value,y_parameter,y_value,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.68,23.120721722934462,10.841132669372882,8.73511429322665,0.0,0.4943181818181818,0.0,0.0,4.0,0,4.68,1,0.25,0,2.4239497766251,1.8090838832761196,0.24876981733646328,4.1666275727050035,-0.0026046511686897223,0.6095673180094286,0.065,4.7,0.06,0.0,4.0,1.4288992721907328
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.72,23.867932015479056,11.06596500230674,8.827971543787967,0.0,0.4887640449438202,0.0,0.0,4.0,1,4.72,1,0.25,0,2.481512975618459,1.8340250864516665,0.3106261275658075,4.2305349679250455,-0.003852621624202901,0.6121265420369708,0.06577673839752203,4.570952355386659,0.0551469765634464,0.0,3.9705706040793256,1.4182988268893335
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.32,24.206821517130905,10.744914499437996,7.893933057828442,0.0,0.5337423312883436,0.0,0.0,4.0,2,4.32,1,0.25,0,2.453045343070045,1.7623214013371675,0.353132605048162,4.296008448081441,-0.004534688778119266,0.5833823547403703,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.0,4.134814580815061,1.44120695245206
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,5.08,23.68614885883567,9.999528712205171,9.853082083803995,0.0,0.4293193717277487,0.0,0.0,4.0,3,5.08,1,0.25,0,1.8188863929437302,2.985978771223386,0.23709474348284676,3.762991033621019,-0.0055429889685516265,0.929782032357983,0.06268446121923109,4.336350357380637,0.05515479194800862,0.0,4.17178330111812,1.4246835883790174
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.28,24.10493209670321,12.30563234238355,7.627731165357127,0.0,0.5341614906832298,0.0,0.0,4.0,4,4.28,1,0.25,0,2.438762352309314,1.7911247434646185,0.37082164658867073,4.264458802184709,-0.004266380458710481,0.6023115510904775,0.06381785595855352,4.180630719342732,0.059804869770326875,0.0,3.8014708311273617,1.422012753510219
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.46,22.142347880645193,11.289450283580997,7.714922065003199,0.0,0.5535714285714286,0.0,0.0,4.0,5,4.46,1,0.25,0,2.4821557119480886,1.753379228042677,0.21162832755794636,4.0907120231984475,-0.006792769103715072,0.6075571123844415,0.0624217189570092,4.63370430103694,0.06530633920429904,0.0,3.8808036451019428,1.390010992718187
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.76,24.31801438215443,10.629796596730761,9.084790843908129,0.0,0.4692737430167598,0.0,0.0,4.0,6,4.76,1,0.25,0,2.486130555931242,1.8361103660134335,0.3379223014488542,4.273656980564396,-0.005454103161079026,0.6051481860568165,0.06515637336675334,4.342580092232875,0.056498397403540186,0.0,4.097035513386014,1.428497097086861
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.08,23.920893103459296,13.106192361111082,7.774500418618462,0.0,0.551948051948052,0.0,0.0,4.0,7,4.08,1,0.25,0,2.3929012642609266,1.7690372196447284,0.38954980682485335,4.249923362603228,-0.00026422369150751017,0.5989933402512541,0.06848455963844179,4.77649654918772,0.05932978830249504,0.0,3.701137032373826,1.4134153665088793
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.76,22.693621040167436,11.000280197772783,9.107002243174177,0.0,0.4692737430167598,0.0,0.0,4.0,8,4.76,1,0.25,0,2.30200267700006,1.8201134793486622,0.20998443789971327,4.099152075510003,-0.006299002938347922,0.6196435738944177,0.06372026305176655,4.744203806428032,0.06066278485949688,0.0,3.930524520257145,1.4696048105776907
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.8,22.840341736404206,10.773772049600293,9.221671810205793,0.0,0.4696132596685083,0.0,0.0,4.0,9,4.8,1,0.25,0,2.3381333381734226,1.819132731537779,0.21454276532068062,4.115847552244879,-0.003333141855544024,0.6166620060305952,0.06338676526046816,4.647285473614353,0.060382690645530375,0.0,3.9854069611494864,1.4516963615488432
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.76,25.874733551800304,10.574274538391064,9.247179011116962,0.0,0.44692737430167595,0.0,0.0,4.0,10,4.76,1,0.25,0,2.5118262393764628,1.8626538599841436,0.47620068206941485,4.419815087822423,-0.004188096893830619,0.59837316440678,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.0,4.188552246593023,1.4280565011100315
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.64,23.88994496758727,10.614289133650066,8.82401361371903,0.0,0.4857142857142857,0.0,0.0,4.0,11,4.64,1,0.25,0,2.408384797492446,1.8137346219243584,0.30561560075915095,4.242318395648176,-0.0015322499599393071,0.6005613081694171,0.06592790622121616,4.548088603371248,0.06045684138226205,0.0,4.103410585085613,1.4522301712184607
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.22,22.878442132831754,11.317553447659808,7.9236672788407185,0.0,0.5660377358490566,0.0,0.0,4.0,12,4.22,1,0.25,0,2.4084216656564967,1.7266024293995745,0.2658298226611679,4.169118947139932,-0.001976645911875876,0.591304206793875,0.06527407704739453,4.6863227333968975,0.06815294053044922,0.0,3.95091798696667,1.4170355867813895
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,5.2,22.853001523997314,10.588400453696513,9.996720782559818,0.0,0.40816326530612246,0.0,0.0,4.0,13,5.2,1,0.25,0,1.6390595525684906,2.9510216952045005,0.33988799025058586,3.660299222466277,-0.0014039224717601294,0.9556732335996089,0.06258078308375867,4.731953134052932,0.0507171319312291,0.0,3.9447136158850062,1.4656254103938693
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.18,24.0446305421863,11.53543419034478,7.860957019184008,0.0,0.554140127388535,0.0,0.0,4.0,14,4.18,1,0.25,0,2.42332634448231,1.7520566671607105,0.35866778714282344,4.276072094887316,-0.005436579154411472,0.5876998792262578,0.06492394526159549,4.2685017141274795,0.06515629612812958,0.0,3.9624706899223114,1.4287107919669706
7,60.0,thrust_mass,actual_thrust_scale,0.0,physical_mass_scale,1.0,ground_impact,4.7,24.149848837242928,10.166233860365024,9.079985744238838,0.0,0.4689265536723164,0.0,0.0,4.0,15,4.7,1,0.25,0,2.4328841474757685,1.8156443533408713,0.3266205965398944,4.273841326348528,-0.0030763974701746516,0.5944273522812171,0.06680778830559155,4.5652735761584315,0.060716124154179485,0.0,4.228529410068424,1.4492631579477007
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.8,24.737814494708186,10.398162825588177,9.24326665682774,0.0,0.3211009174311927,0.0,0.0,4.0,0,5.8,1,0.25,0,1.104006542424495,2.8089612118591654,0.14710775201621754,3.8542753616160854,-0.003546462568510952,0.9365424296057292,0.065,4.7,0.06,0.03,4.0,1.4288992721907328
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.98,25.681338103896543,10.589441888245183,9.07896884730923,0.0,0.3022222222222222,0.0,0.0044444444444444444,4.0,1,5.98,1,0.25,0,0.9655145531571309,2.776301245979012,0.06588400672446885,3.943087349305669,-0.008994528778678186,0.9303820278213251,0.06577673839752203,4.570952355386659,0.0551469765634464,0.03300062481951364,3.9705706040793256,1.4182988268893335
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.54,25.639678930696725,10.285247920603675,9.254098633092525,0.0,0.34134615384615385,0.0,0.0,4.0,2,5.54,1,0.25,0,1.1534281549584864,2.872381978039105,0.044757346959827214,3.956478267713282,-0.0044288367298219115,0.9178173419415165,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.031143389568127063,4.134814580815061,1.44120695245206
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,6.08,25.25262051585419,9.574603928746066,9.178384350894278,0.0,0.2925764192139738,0.0,0.004366812227074236,4.0,3,6.08,1,0.25,0,0.9423477880772367,2.7396410749270133,0.10137435336968396,3.9081882507833767,-0.0053577172854405684,0.9215882606299232,0.06268446121923109,4.336350357380637,0.05515479194800862,0.02820106664684216,4.17178330111812,1.4246835883790174
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.6000000000000005,25.74079460305742,11.667269025398006,9.124822810123508,0.0,0.3412322274881517,0.0,0.0,4.0,4,5.6000000000000005,1,0.25,0,1.1602935414149187,2.867941231945984,0.04461445600435878,3.9566914692979656,-0.007477168839214919,0.9372879757065489,0.06381785595855352,4.180630719342732,0.059804869770326875,0.030111774343157195,3.8014708311273617,1.422012753510219
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.8,23.836770309431188,10.768990673534129,9.216435882809366,0.0,0.3532110091743119,0.0,0.027522935779816515,4.0,5,5.8,1,0.25,0,1.4033963661119289,2.8242424124441725,0.20616209452482376,3.7943659086832686,-0.0063084778372858915,0.9532433510599698,0.0624217189570092,4.63370430103694,0.06530633920429904,0.03086503437550528,3.8808036451019428,1.390010992718187
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.82,25.88291682993402,10.205588732009993,9.180491536839968,0.0,0.3105022831050228,0.0,0.0,4.0,6,5.82,1,0.25,0,0.9864153658019961,2.7975424650813516,0.04678579174496337,3.9617613547713817,-0.0004165997642342108,0.917992367360107,0.06515637336675334,4.342580092232875,0.056498397403540186,0.02971682681197388,4.097035513386014,1.428497097086861
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.4,25.569349425741596,12.370517557629398,9.21112813049768,0.0,0.3694581280788177,0.0,0.0,4.0,7,5.4,1,0.25,0,1.3386954867560505,2.9139829831427098,0.07372988606395352,3.926705335814192,-0.001960492033870307,0.9429244568117574,0.06848455963844179,4.77649654918772,0.05932978830249504,0.03102436540079281,3.701137032373826,1.4134153665088793
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.86,24.291162502479708,10.538587944193292,9.220708326739356,0.0,0.30454545454545456,0.0,0.031818181818181815,4.0,8,5.86,1,0.25,0,0.9991444368183462,2.7976383721314098,0.18614172318544653,3.815622211555055,-0.006727395839342516,0.9482671558480859,0.06372026305176655,4.744203806428032,0.06066278485949688,0.02990022401977588,3.930524520257145,1.4696048105776907
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.94,24.501137472088892,10.30158557790702,9.175275417776199,0.0,0.30493273542600896,0.0,0.026905829596412557,4.0,9,5.94,1,0.25,0,1.0321309509730956,2.7778831214097783,0.16438660825616236,3.8381955050573016,-0.0034315486697723482,0.9422913110925123,0.06338676526046816,4.647285473614353,0.060382690645530375,0.0310008713412515,3.9854069611494864,1.4516963615488432
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.9,27.45904903834157,10.136768400645176,9.052185129149777,0.0,0.2882882882882883,0.0,0.0,4.0,10,5.9,1,0.25,0,0.801962032755808,2.7864431667502148,0.12649129654474195,4.120195123626606,-0.009829572402163523,0.899846306640663,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.03215778388748423,4.188552246593023,1.4280565011100315
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.68,25.316774881896208,10.200384710944467,9.29359616542495,0.0,0.32242990654205606,0.0,0.0,4.0,11,5.68,1,0.25,0,1.0317196429243645,2.8379650510805243,0.09292708634654252,3.9088642427839733,-0.009224632828212894,0.923746820617762,0.06592790622121616,4.548088603371248,0.06045684138226205,0.02898650662349152,4.103410585085613,1.4522301712184607
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.48,24.375518898535557,10.825751500829055,9.34702730164792,0.0,0.3737864077669903,0.0,0.0,4.0,12,5.48,1,0.25,0,1.4330653254136974,2.8943047953084196,0.16053472112804087,3.8397568455541164,-0.0038999676972530962,0.9410844593708737,0.06527407704739453,4.6863227333968975,0.06815294053044922,0.030304707915584414,3.95091798696667,1.4170355867813895
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,6.32,24.550492907847385,10.138887485654294,9.095301475575141,0.0,0.2647058823529412,0.0,0.07563025210084033,4.0,13,6.32,1,0.25,0,0.8166866893522704,2.6967838039614453,0.1734270010811405,3.835008936792401,-0.002260777613278489,0.9453506868271895,0.06258078308375867,4.731953134052932,0.0507171319312291,0.029305038635192376,3.9447136158850062,1.4656254103938693
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.44,25.528766413350226,11.02598812635591,9.258145597392563,0.0,0.36097560975609755,0.0,0.0,4.0,14,5.44,1,0.25,0,1.2702862896940172,2.90182530182448,0.05691480999232392,3.943309742962195,-0.004833701884696373,0.9288136786329448,0.06492394526159549,4.2685017141274795,0.06515629612812958,0.030190902616838745,3.9624706899223114,1.4287107919669706
7,60.0,thrust_mass,actual_thrust_scale,0.1,physical_mass_scale,1.0,ground_impact,5.64,25.4784372446217,9.772578884672397,9.357667463387434,0.0,0.32075471698113206,0.0,0.0,4.0,15,5.64,1,0.25,0,1.033270971526917,2.8376133507366528,0.08200889412068302,3.9198356520164572,-0.0026328091279138547,0.912882823115977,0.06680778830559155,4.5652735761584315,0.060716124154179485,0.02821920820822479,4.228529410068424,1.4492631579477007
7,60.0,thrust_mass,actual_thrust_scale,0.25,physical_mass_scale,1.0,ground_impact,8.36,27.44932088451302,9.789023435471915,8.093573500709228,0.0,0.48089171974522293,0.0,0.18471337579617833,4.0,0,8.36,3,0.75,0,1.4209541452538517,2.4491498516629724,0.4005326131878784,4.305205917212648,-0.00522331947797584,0.9259697736899254,0.065,4.7,0.06,0.075,4.0,1.4288992721907328
7,60.0,thrust_mass,actual_thrust_scale,0.25,physical_mass_scale,1.0,ground_impact,9.040000000000001,33.89158241285705,9.943384183554691,7.883436394193951,0.0,0.538235294117647,0.0,0.21764705882352942,4.0,1,9.040000000000001,3,0.75,0,1.870942132590134,2.3750266724968623,0.6781690563893532,4.5563514565664,-0.00031332773172295866,0.920164298006159,0.06577673839752203,4.570952355386659,0.0551469765634464,0.08250156204878409,3.9705706040793256,1.4182988268893335
7,60.0,thrust_mass,actual_thrust_scale,0.25,physical_mass_scale,1.0,ground_impact,7.96,28.45608843201925,9.65247966411663,8.062284223992696,0.0,0.4682274247491639,0.0,0.12374581939799331,4.0,2,7.96,3,0.75,0,1.4512925496127567,2.491849960129934,0.45344124265092134,4.390047302829693,-0.0010317532811110024,0.9138630519815352,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.07785847392031765,4.134814580815061,1.44120695245206
7,60.0,thrust_mass,actual_thrust_scale,0.25,physical_mass_scale,1.0,ground_impact,8.64,29.462187371958805,8.990805614916232,8.10340752396898,0.0,0.5046153846153846,0.0,0.17846153846153845,4.0,3,8.64,3,0.75,0,1.4396365654872534,2.399929985846046,0.480678193846841,4.37637190923358,-0.0003392602740115028,0.9132471518589542,0.06268446121923109,4.336350357380637,0.05515479194800862,0.0705026666171054,4.17178330111812,1.4246835883790174
7,60.0,thrust_mass,actual_thrust_scale,0.25,physical_mass_scale,1.0,ground_impact,8.24,28.89483345106735,10.985621738386918,7.968044395522574,0.0,0.49032258064516127,0.0,0.18064516129032257,4.0,4,8.24,3,0.75,0,1.4047733712696109,2.4662816422930365,0.49831794761926024,4.421519648533143,-0.0031631032927687177,0.9293276117696924,0.06381785595855352,4.180630719342732,0.059804869770326875,0.07527943585789298,3.8014708311273617,1.422012753510219
7,60.0,thrust_mass,actual_thrust_scale,0.25,physical_mass_scale,1.0,ground_impact,8.72,27.841617784770445,10.09775459564506,7.9892349942071785,0.0,0.5,0.0,0.24085365853658536,4.0,5,8.72,3,0.75,0,1.4164337604156243,2.4371290300690647,0.38931366388824884,4.275613867243871,-0.0031271180611779905,0.9377513164389925,0.0624217189570092,4.63370430103694,0.06530633920429904,0.0771625859387632,3.8808036451019428,1.390010992718187
7,60.0,thrust_mass,actual_thrust_scale,0.25,physical_mass_scale,1.0,ground_impact,8.28,29.020849738767765,9.619640847863476,8.069836374215356,0.0,0.4919614147909968,0.0,0.14790996784565916,4.0,6,8.28,3,0.75,0,1.4031624439661305,2.436415914565563,0.5137022617231239,4.429288653994801,-0.006794837060965441,0.9125380542501954,0.06515637336675334,4.342580092232875,0.056498397403540186,0.0742920670299347,4.097035513386014,1.428497097086861
