cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad,random_seed,requested_duration_s,screen_parameter,component,nominal_value,scale,applied_value,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction
4.0,0,1.22,1,0.25,0,0.7459758121467585,1.44994300636321,1.1670556078831702,4.825792974272934,-0.0537171296288881,0.43595836605088545,0.065,4.7,0.06,0.3,4.0,1.4288992721907328,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.1,0.03490658503988659,sustained_stall,0.0,3.5366782271297104,39.43816564453556,18.926783511861863,1.0,0.10869565217391304,0.0,0.0
4.0,1,1.2,1,0.25,0,0.6312422691595921,1.4384989411150677,1.1582461042826235,4.778048729222805,-0.032999539934893796,0.4367308276117042,0.06577673839752203,4.525026078250777,0.057254305433758694,0.29719603583055065,3.87867441408616,1.431125676117762,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.1,0.03490658503988659,sustained_stall,0.0,1.721198871814742,40.18131197385395,19.76017005489683,1.0,0.06521739130434782,0.0,0.0
4.0,2,1.24,1,0.25,0,0.7972877903574365,1.4595372885667226,1.1118839707125245,4.8156731097970935,-0.07398726852877682,0.4364106638971811,0.06428724157605824,4.838135458152227,0.04859266356119493,0.2622486043376923,4.159134793507912,1.386136756807275,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.1,0.03490658503988659,sustained_stall,0.0,2.9167862896145005,39.77149876047674,18.304523781114042,1.0,0.1276595744680851,0.0,0.0
4.0,3,1.22,1,0.25,0,0.6952289338743316,1.4380178516881204,1.1186748423289883,4.739607558132517,-0.026490188478432,0.4388387618621498,0.06268446121923109,4.800642136301137,0.052262773561290145,0.2919196065623004,3.8788697987002156,1.4315570676173444,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.1,0.03490658503988659,sustained_stall,0.0,2.607279660648519,39.5050620662128,19.456428853182175,1.0,0.08695652173913043,0.0,0.0
4.0,4,1.22,1,0.25,0,0.7488109069957419,1.4352457894184056,1.1434848643563837,4.802986916007213,-0.021863631258781782,0.43549162574664424,0.06381785595855352,4.729726818217408,0.048949589773249605,0.2992724858189839,3.995121744258172,1.4763311575159435,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.1,0.03490658503988659,sustained_stall,0.0,5.28858977914342,39.21518322419061,18.832803045320496,1.0,0.10869565217391304,0.0,0.0
4.0,5,1.24,1,0.25,0,0.8478156710299865,1.435099765286818,1.1381533195157145,4.839973191086879,-0.019173463414353664,0.4339236167882566,0.0624217189570092,4.437608011392286,0.058589453213551905,0.3016996347900496,4.132658480107476,1.3748937349146328,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.1,0.03490658503988659,sustained_stall,0.0,3.5855098656037714,38.37655437128151,17.928189017356065,1.0,0.14893617021276595,0.0,0.0
4.0,6,1.2,1,0.25,0,0.6395232181318239,1.4265115607115273,1.1116151631035707,4.7431829560673116,-0.0077843524640598405,0.4365255437748202,0.06515637336675334,4.691750986065357,0.052395321111337774,0.27704796351741906,3.9124599350885045,1.458897387071965,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.1,0.03490658503988659,sustained_stall,0.0,2.6734068385085603,40.443952148749894,19.660401796995213,1.0,0.06521739130434782,0.0,0.0
4.0,7,1.2,1,0.25,0,0.7012426262678142,1.4554236649768875,1.1937135753139259,4.844145038832962,-0.07029547867375363,0.43511905556030667,0.06848455963844179,4.896075500837238,0.06162758615293021,0.29283370085949106,3.9832447075623763,1.4330655136385633,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.1,0.03490658503988659,sustained_stall,0.0,2.730165655631428,40.44378572062538,19.428906542104663,1.0,0.08695652173913043,0.0,0.0
4.0,0,1.26,1,0.25,0,0.7775997630504836,1.4713873316261217,1.2673234713363233,4.893443984929204,-0.03599420850598921,0.438895969614201,0.065,4.7,0.06,0.3,4.0,1.4288992721907328,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.25,0.08726646259971647,sustained_stall,0.0,6.0306034223624865,36.7179404023965,18.71223467884853,0.9375,0.14583333333333334,0.0,0.0
4.0,1,1.24,1,0.25,0,0.7715515783603994,1.471180446087209,1.2657527797898338,4.85204344330918,-0.04576667654508111,0.4404439432769448,0.06577673839752203,4.525026078250777,0.057254305433758694,0.29719603583055065,3.87867441408616,1.431125676117762,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.25,0.08726646259971647,sustained_stall,0.0,4.984754595935783,37.662152074547336,19.55965800288659,0.9574468085106383,0.1276595744680851,0.0,0.0
