cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad,random_seed,requested_duration_s,screen_parameter,component,nominal_value,scale,applied_value,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction
4.0,0,2.2800000000000002,1,0.25,0,2.0938916873219133,1.4571434986834437,2.7290172979430762,6.195346309547134,-0.03148230312554799,0.43384474724581623,0.065,4.7,0.06,0.3,4.0,1.4288992721907328,7,60.0,airframe.max_elevator,airframe,0.4188790204786391,0.05,0.020943951023931956,ground_impact,2.2800000000000002,41.26042715799853,20.57766171521971,3.08221981498444,0.0,0.7441860465116279,0.0,0.0
4.0,1,2.32,1,0.25,0,2.3358502231978733,1.485283047704536,2.973508625007589,6.414771020267471,-0.013971216331422433,0.43568872547663584,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335,7,60.0,airframe.max_elevator,airframe,0.4188790204786391,0.05,0.020943951023931956,ground_impact,2.32,42.36041825969826,20.111332870393824,2.9132708318242817,0.0,0.7613636363636364,0.0,0.0
4.0,2,2.34,1,0.25,0,2.2850790339672007,1.4671573028596383,2.7648039360058436,6.286505179158888,-0.002434993266321392,0.4338063498720182,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206,7,60.0,airframe.max_elevator,airframe,0.4188790204786391,0.05,0.020943951023931956,ground_impact,2.34,41.56002086893244,19.940324159578243,2.7407391237066734,0.0,0.7727272727272727,0.0,0.0
4.0,3,2.48,1,0.25,0,2.58696384508639,1.4780917328971461,2.8423736314699717,6.351562800243345,-0.024374159545685697,0.4348691488926606,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174,7,60.0,airframe.max_elevator,airframe,0.4188790204786391,0.05,0.020943951023931956,ground_impact,2.48,42.185422601525836,18.98210379831465,2.555392020660979,0.0,0.7978723404255319,0.0,0.0
4.0,4,2.22,1,0.25,0,1.9756482037739191,1.5118619410270167,2.7748515150100013,6.202604376655144,-0.020130994364892706,0.44356245777213593,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219,7,60.0,airframe.max_elevator,airframe,0.4188790204786391,0.05,0.020943951023931956,ground_impact,2.22,41.215789323831864,21.825066468443747,3.4181538228225015,0.0,0.7261904761904762,0.0,0.0
4.0,5,2.36,1,0.25,0,2.2462983736395707,1.4826702552736981,2.7413100647357322,6.191747678062049,-0.02497740878106048,0.44052518527150925,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187,7,60.0,airframe.max_elevator,airframe,0.4188790204786391,0.05,0.020943951023931956,ground_impact,2.36,41.67143061625031,20.319669000505783,2.950657203654168,0.0,0.7640449438202247,0.0,0.0
4.0,6,2.32,1,0.25,0,2.2652007832731114,1.4763311861744821,2.8278431892036093,6.317882909208979,-0.0249381965440248,0.4340921535201172,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861,7,60.0,airframe.max_elevator,airframe,0.4188790204786391,0.05,0.020943951023931956,ground_impact,2.32,41.75814637364106,20.183919560924515,2.9309666863380164,0.0,0.7613636363636364,0.0,0.0
4.0,7,2.02,1,0.25,0,1.4743448445513243,1.4653978063178454,2.6401039513122546,6.018534355672009,-0.03386267163073297,0.43795788475748426,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793,7,60.0,airframe.max_elevator,airframe,0.4188790204786391,0.05,0.020943951023931956,ground_impact,2.02,39.55945447989787,23.556932182551115,4.207078834118314,0.0,0.6578947368421053,0.0,0.0
4.0,8,2.2800000000000002,1,0.25,0,2.048827532784104,1.457091291194084,2.708330120641142,6.155898458580902,-0.03825401801558917,0.4348642835112173,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907,7,60.0,airframe.max_elevator,airframe,0.4188790204786391,0.05,0.020943951023931956,ground_impact,2.2800000000000002,41.217408989736455,20.64030160565363,3.1127810187333003,0.0,0.7441860465116279,0.0,0.0
4.0,9,2.36,1,0.25,0,2.2905535118002436,1.4594104924213427,2.801480316415245,6.2647645525419,-0.008854091679507417,0.4349345188863262,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432,7,60.0,airframe.max_elevator,airframe,0.4188790204786391,0.05,0.020943951023931956,ground_impact,2.36,41.84690813447641,19.799222655175853,2.8175703402063355,0.0,0.7640449438202247,0.0,0.0
