random_seed,requested_duration_s,sweep_parameter,sweep_nominal_value,sweep_scale,sweep_applied_value,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,altitude_gain,2.0,-10.0,-20.0,ground_impact,8.36,32.233453941792135,7.563140071365595,7.397570177617373,0.0,0.5222929936305732,0.0,0.0,4.0,0,8.36,3,0.75,0,1.507966183571998,2.0519194761430684,0.48958014734103955,4.414669502779732,-0.006634040642992297,0.10056650291191745,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
7,60.0,altitude_gain,2.0,-10.0,-20.0,ground_impact,8.48,33.616466263974026,7.609751564371912,7.350202304876719,0.0,0.54858934169279,0.0,0.0,4.0,1,8.48,3,0.75,0,1.8415039927404033,1.9903912203083562,0.6348085388839156,4.557688555990634,-0.009040492615591651,0.0815544253501728,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
7,60.0,altitude_gain,2.0,-10.0,-20.0,ground_impact,8.1,32.76940574375759,7.355161805683142,7.4042653530459015,0.0,0.5164473684210527,0.0,0.0,4.0,2,8.1,3,0.75,0,1.4581107287502661,2.0766771817979324,0.5681889019877877,4.510932392602361,-0.002482423127288965,0.10540751542258188,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
7,60.0,altitude_gain,2.0,-10.0,-20.0,ground_impact,8.48,32.37941629030771,6.859061197130749,7.329440080010411,0.0,0.5329153605015674,0.0,0.0,4.0,3,8.48,3,0.75,0,1.635384701613609,2.028399958648339,0.5334328338817114,4.461789090646188,-0.009291058623587149,0.09184898717845628,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174
7,60.0,altitude_gain,2.0,-10.0,-20.0,ground_impact,8.26,33.025469981663356,8.63325759540982,7.348242669059957,0.0,0.5290322580645161,0.0,0.0,4.0,4,8.26,3,0.75,0,1.5269344367316384,2.0538652273375932,0.583938737460833,4.51970088500944,-0.004684067280855041,0.09980430592660318,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
7,60.0,altitude_gain,2.0,-10.0,-20.0,ground_impact,8.5,31.843505443111358,7.669561400433654,7.41164709086999,0.0,0.5266457680250783,0.0,0.0,4.0,5,8.5,3,0.75,0,1.4768452470947369,2.038982795461785,0.4137942128090982,4.3312600115501745,-0.0031305021769663065,0.10226798350744289,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
7,60.0,altitude_gain,2.0,-10.0,-20.0,ground_impact,8.26,33.01426561020844,7.464276334896842,7.362394809328419,0.0,0.5290322580645161,0.0,0.0,4.0,6,8.26,3,0.75,0,1.5850763518614217,2.041951434211843,0.6086904958158084,4.542263142161015,-0.0006399373861471994,0.09525298274108868,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
7,60.0,altitude_gain,2.0,-10.0,-20.0,ground_impact,8.16,33.17470154450419,9.227244994400333,7.46691264360641,0.0,0.5276872964169381,0.0,0.0,4.0,7,8.16,3,0.75,0,1.4845841583625576,2.0768986861873486,0.5803285580586102,4.509762834908428,-0.011165859855800134,0.10755837462720114,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
7,60.0,altitude_gain,2.0,-10.0,-20.0,ground_impact,8.48,31.693987210858843,7.6179317752710825,7.368160000226561,0.0,0.5172413793103449,0.0,0.0,4.0,8,8.48,3,0.75,0,1.559546596368903,2.0466688881726833,0.4556833936821619,4.377149195843466,-0.009006726674209944,0.10139495872096087,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
7,60.0,altitude_gain,2.0,-10.0,-20.0,ground_impact,8.52,32.18101853831378,7.3204536382456755,7.353468274506797,0.0,0.528125,0.0,0.0,4.0,9,8.52,3,0.75,0,1.615006174490991,2.0180889810394826,0.4823145580227464,4.403456569913354,-0.0009115686801537664,0.09401044973659411,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
